cliente,total_pedidos,valor_total,ticket_medio,primeira_compra,ultima_compra
STOK CENTER 22,433,1019229.05,2353.88,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 50,374,1012322.65,2706.75,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO BOM PRECO,6786,995991.74,146.77,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO ALVORADA,4661,987071.86,211.77,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO 3M PQ NOVO STO AMARO,470,974461.11,2073.32,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 39,391,958713.18,2451.95,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO BIG MASTER LJ5,716,949643.14,1326.32,2026-02-01 00:00:00,2026-02-01 00:00:00
TREICHEL,659,937886.57,1423.2,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 44,366,928837.11,2537.81,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO CATANDUVA,594,923580.96,1554.85,2026-02-01 00:00:00,2026-02-01 00:00:00
BRASIL ATACADISTA LJ 09,515,908635.67,1764.34,2026-02-01 00:00:00,2026-02-01 00:00:00
COMERCIAL BOCCHI,416,905174.07,2175.9,2026-02-01 00:00:00,2026-02-01 00:00:00
NILO SUPERMERCADO LJ3,479,887477.97,1852.77,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO ECONOMICO,5050,881893.91,174.63,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 31,373,873787.78,2342.59,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER SANTA MARIA 53,407,866994.91,2130.21,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO UNIAO,7522,866427.53,115.19,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO 3M CRA STA MARIA,475,864683.14,1820.39,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADOS RONDON LJ 2,669,863168.07,1290.24,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 30,360,851758.06,2365.99,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER PELOTAS II 59,402,849471.99,2113.11,2026-02-01 00:00:00,2026-02-01 00:00:00
HIPERMERCADO DO CARLITO 2,820,838244.03,1022.25,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO LONDRES LJ3,319,828167.29,2596.14,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO CENTRAL,6398,815288.11,127.43,2026-02-01 00:00:00,2026-02-01 00:00:00
ATACALE 5,530,802648.35,1514.43,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 42,368,800088.36,2174.15,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 37,348,794903.11,2284.2,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 36,372,774865.98,2082.97,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO AVENIDA,4435,751602.19,169.47,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 54,378,731450.1,1935.05,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO SAO FRANCISCO,3175,727194.22,229.04,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 28,370,724061.96,1956.92,2026-02-01 00:00:00,2026-02-01 00:00:00
PASQUALOTTO SUPERMERCADOS LJ3,1094,723268.58,661.12,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO BIG MASTER LJ4,678,717673.02,1058.51,2026-02-01 00:00:00,2026-02-01 00:00:00
BRASIL ATACADISTA LJ 26,544,716680.18,1317.43,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO LONDRES LJ1,278,712849.9,2564.21,2026-02-01 00:00:00,2026-02-01 00:00:00
KALBIR LJ15,104,700361.2,6734.24,2026-02-01 00:00:00,2026-02-01 00:00:00
ECONOMICO LJ4,863,696653.63,807.25,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO BENEDETTI LJ2,637,684757.66,1074.97,2026-02-01 00:00:00,2026-02-01 00:00:00
ECONOMICO LJ7,865,684622.74,791.47,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPER MAIS LJ3,1010,684133.8,677.36,2026-02-01 00:00:00,2026-02-01 00:00:00
HIPER MONLEVADE,668,677191.62,1013.76,2026-02-01 00:00:00,2026-02-01 00:00:00
BIG SUPERMERCADOS LJ8,706,667356.92,945.26,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 41,350,652259.98,1863.6,2026-02-01 00:00:00,2026-02-01 00:00:00
NILO SUPERMERCADO LJ8,440,643792.13,1463.16,2026-02-01 00:00:00,2026-02-01 00:00:00
BRASIL ATACADISTA LJ 25,537,642395.06,1196.27,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADOS MANAIRA,800,634779.0,793.47,2026-02-01 00:00:00,2026-02-01 00:00:00
PORTAL DO CEASA,287,632577.54,2204.1,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO FARTURAO PONTES E LACERDA LJ2,821,620174.0,755.39,2026-02-01 00:00:00,2026-02-01 00:00:00
COFESA LJ15 MAX,802,619570.78,772.53,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO BARATAO,1570,605811.33,385.87,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO NILO GOEDERT,767,605549.71,789.5,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO ROYAL,1526,595617.72,390.31,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO ARMAZEM LJ3,618,595157.54,963.04,2026-02-01 00:00:00,2026-02-01 00:00:00
BRAUNA ATACAREJO LJ3,681,586898.26,861.82,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 38,344,580061.86,1686.23,2026-02-01 00:00:00,2026-02-01 00:00:00
ATACADAO MARACA LJ2,843,576028.23,683.31,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO REAL,3567,572544.31,160.51,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 34,373,570913.04,1530.6,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO BIG MASTER LJ3,618,570729.01,923.51,2026-02-01 00:00:00,2026-02-01 00:00:00
BEM MAIOR,693,569051.36,821.14,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 51,383,562954.67,1469.86,2026-02-01 00:00:00,2026-02-01 00:00:00
MERCADINHO ECONOMICO,1502,559237.2,372.33,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 27,345,557037.53,1614.6,2026-02-01 00:00:00,2026-02-01 00:00:00
COLINA DISTRIBUIDORA LJ2,747,554300.74,742.04,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO CAVALIN BORA,765,550462.61,719.56,2026-02-01 00:00:00,2026-02-01 00:00:00
UNIDASUL MACROMIX ATACADO FILIAL76,497,549755.72,1106.15,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO OLIVEIRA LJ1,2276,547722.47,240.65,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 48,369,540088.74,1463.66,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 70,275,533931.41,1941.57,2026-02-01 00:00:00,2026-02-01 00:00:00
UNIDASUL MACROMIX ATACADO FILIAL59,496,526436.61,1061.36,2026-02-01 00:00:00,2026-02-01 00:00:00
ECONOMICO LJ8,904,521635.85,577.03,2026-02-01 00:00:00,2026-02-01 00:00:00
GONZAGA HIPERMERCADO,1527,521557.51,341.56,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 57,367,520650.12,1418.67,2026-02-01 00:00:00,2026-02-01 00:00:00
CALVO ATACADISTA,480,519714.03,1082.74,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 47,386,515718.43,1336.06,2026-02-01 00:00:00,2026-02-01 00:00:00
HIPER SENNA LJ1,658,515647.11,783.66,2026-02-01 00:00:00,2026-02-01 00:00:00
COFESA LJ8,809,513736.02,635.03,2026-02-01 00:00:00,2026-02-01 00:00:00
CENTRAL ATACADISTA,967,512334.54,529.82,2026-02-01 00:00:00,2026-02-01 00:00:00
J PAVANI LJ 1,466,509192.59,1092.69,2026-02-01 00:00:00,2026-02-01 00:00:00
GONZAGA HIPERMERCADO LJ1,1596,508986.56,318.91,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER VIAMAO 63,406,508596.38,1252.7,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO NAVIRAI 095,436,506284.52,1161.2,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO DALAQUA,1845,505209.84,273.83,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO ESTRELA,3684,504211.64,136.87,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 56,384,504085.35,1312.72,2026-02-01 00:00:00,2026-02-01 00:00:00
TAKA SUPERMERCADO 1,608,502771.94,826.93,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO LIDER,3459,500286.56,144.63,2026-02-01 00:00:00,2026-02-01 00:00:00
ORIUNDI SUPERMERCADOS,634,499161.53,787.32,2026-02-01 00:00:00,2026-02-01 00:00:00
COFESA MAX ITAPETININGA,790,494800.78,626.33,2026-02-01 00:00:00,2026-02-01 00:00:00
ECONOMICO LJ5,750,493996.81,658.66,2026-02-01 00:00:00,2026-02-01 00:00:00
NILO SUPERMERCADO LJ7,460,490916.52,1067.21,2026-02-01 00:00:00,2026-02-01 00:00:00
COOPERATIVA DOS BANCARIOS,506,487368.0,963.18,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 43,357,486266.63,1362.09,2026-02-01 00:00:00,2026-02-01 00:00:00
SOL NASCENTE LJ4,225,484825.7,2154.78,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO COLUMBIA,559,475636.91,850.87,2026-02-01 00:00:00,2026-02-01 00:00:00
HIPER BATISTA LJ2,528,474921.36,899.47,2026-02-01 00:00:00,2026-02-01 00:00:00
UNIDASUL MACROMIX ATACADO FILIAL42,505,469508.62,929.72,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 58,379,469340.41,1238.37,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO POPULAR,2732,467806.97,171.23,2026-02-01 00:00:00,2026-02-01 00:00:00
NOVO TEMPO SUPERMERCADO 2,428,465455.57,1087.51,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO CAMPOS LJ3,712,463948.62,651.61,2026-02-01 00:00:00,2026-02-01 00:00:00
ACM DISTRIBUIDORA DE ALIMENTOS,713,460560.19,645.95,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO SANTA RITA,2352,458217.39,194.82,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPER MERCOSUL LJ 1,1636,454949.1,278.09,2026-02-01 00:00:00,2026-02-01 00:00:00
HIPERSENNA LJ7,558,454668.25,814.82,2026-02-01 00:00:00,2026-02-01 00:00:00
COMERCIAL NARCIZO,703,454206.81,646.1,2026-02-01 00:00:00,2026-02-01 00:00:00
MERCADO ECONOMICO,3950,451386.94,114.28,2026-02-01 00:00:00,2026-02-01 00:00:00
MERCADO E ACOUGUE MARQUES,670,451252.5,673.51,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO DAS PALMEIRAS,704,450676.33,640.17,2026-02-01 00:00:00,2026-02-01 00:00:00
UNIDASUL MACROMIX ATACADO FILIAL80,505,449710.29,890.52,2026-02-01 00:00:00,2026-02-01 00:00:00
BRAUNA ATACAREJO LJ2,610,448471.97,735.2,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPER PUPPO SUPERMERCADOS LJ3,423,446795.64,1056.25,2026-02-01 00:00:00,2026-02-01 00:00:00
CDA ATACADISTA DE ALIMENTOS,564,446361.73,791.42,2026-02-01 00:00:00,2026-02-01 00:00:00
ATACADAO ALMIRANTE,712,445999.09,626.4,2026-02-01 00:00:00,2026-02-01 00:00:00
HIPER DAL POZZO CIDADE DOS LAGOS,965,443181.2,459.26,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO CAMPOS LJ2,925,443170.46,479.1,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO RIBEIRO,2119,439504.8,207.41,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO NOVA ERA UBAENSE,1226,439160.26,358.21,2026-02-01 00:00:00,2026-02-01 00:00:00
SANTO SUPERMERCADOS LJ2,523,436348.58,834.32,2026-02-01 00:00:00,2026-02-01 00:00:00
UNIDASUL MACROMIX ATACADO FILIAL55,499,434276.07,870.29,2026-02-01 00:00:00,2026-02-01 00:00:00
UNIDASUL MACROMIX ATACADO FILIAL84,486,433088.06,891.13,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO SAO JUDAS TADEU,801,432818.82,540.35,2026-02-01 00:00:00,2026-02-01 00:00:00
SALINA SUPERMERCADO,1076,430596.52,400.18,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO SAO SEBASTIAO,1496,427965.09,286.07,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO SAO JOSE,3648,426714.46,116.97,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO 5 IRMAOS,605,425828.47,703.85,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO BOA ESPERANCA,2044,425474.13,208.16,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO RODRIGUES,2703,423557.44,156.7,2026-02-01 00:00:00,2026-02-01 00:00:00
CIDADE BRANCA DOM BOSCO,397,423389.78,1066.47,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO VENCEDOR LJ1,642,421038.92,655.82,2026-02-01 00:00:00,2026-02-01 00:00:00
DIEGAO SUPERMERCADO,1093,418905.8,383.26,2026-02-01 00:00:00,2026-02-01 00:00:00
OLIVEIRA ATACAREJO,802,414702.18,517.09,2026-02-01 00:00:00,2026-02-01 00:00:00
LAVAGNOLI PRECO CERTO,513,414408.13,807.81,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO ROSANA,295,411103.76,1393.57,2026-02-01 00:00:00,2026-02-01 00:00:00
BANDEIRANTE SUPERMERCADOS LJ2,469,410431.58,875.12,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO MAIS PONTES E LACERDA LJ1,736,409061.1,555.79,2026-02-01 00:00:00,2026-02-01 00:00:00
MACAMO ATACADO PAROBE,389,409024.28,1051.48,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO SAO JOAO,1942,407421.26,209.79,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO ARMAZEM LJ1,608,406813.73,669.1,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO ARAUJO,3710,406767.31,109.64,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO GUANABARA CASSINO,440,406064.35,922.87,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO ALIANCA,2800,403208.02,144.0,2026-02-01 00:00:00,2026-02-01 00:00:00
UNIDASUL MACROMIX ATACADO FILIAL77,505,402766.14,797.56,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO NOVA ERA LJ4,646,402747.33,623.45,2026-02-01 00:00:00,2026-02-01 00:00:00
BRASIL ATACADISTA LJ 05,521,401350.26,770.35,2026-02-01 00:00:00,2026-02-01 00:00:00
BON ATACAREJO LJ4,625,399250.68,638.8,2026-02-01 00:00:00,2026-02-01 00:00:00
AZUL ATACAREJO LJ2,647,394946.81,610.43,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO TOSTA LJ2,738,394925.5,535.13,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADOS NOVA ESTRELA LJ1,567,394832.78,696.35,2026-02-01 00:00:00,2026-02-01 00:00:00
MACAMO ATACADO CANUDOS,390,394754.36,1012.19,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO META,906,394434.32,435.36,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 46,340,393851.65,1158.39,2026-02-01 00:00:00,2026-02-01 00:00:00
PASQUALOTTO SUPERMERCADOS LUCAS,605,393676.84,650.71,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO RISPOLI,422,390685.07,925.79,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO BIG MASTER LJ1,584,390251.21,668.24,2026-02-01 00:00:00,2026-02-01 00:00:00
ANTONELLI LOJA 5 JAGUARIUNA,722,389636.13,539.66,2026-02-01 00:00:00,2026-02-01 00:00:00
MACAMO CAMPO BOM,377,389373.69,1032.82,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO MENDES,1312,387834.98,295.61,2026-02-01 00:00:00,2026-02-01 00:00:00
LAVAGNOLI SAO SILVANO,573,387110.07,675.58,2026-02-01 00:00:00,2026-02-01 00:00:00
BRASIL ATACADISTA LJ 34,506,387008.95,764.84,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERKIBARATO LJ7,601,386223.48,642.63,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO SAO PAULO,2261,384338.27,169.99,2026-02-01 00:00:00,2026-02-01 00:00:00
SORPAN ALIMENTOS LJ9,404,383888.43,950.22,2026-02-01 00:00:00,2026-02-01 00:00:00
HIPERSENNA LJ2,590,382217.27,647.83,2026-02-01 00:00:00,2026-02-01 00:00:00
HIPER SENNA LJ5,545,382193.64,701.27,2026-02-01 00:00:00,2026-02-01 00:00:00
NOSSO SUPERMERCADO,2038,381678.87,187.28,2026-02-01 00:00:00,2026-02-01 00:00:00
JL ATACADO,582,380875.9,654.43,2026-02-01 00:00:00,2026-02-01 00:00:00
UNIDASUL FILIAL27,440,377382.08,857.69,2026-02-01 00:00:00,2026-02-01 00:00:00
SUP ROXO,385,377247.39,979.86,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO MAIS VOCE LJ3,735,375491.36,510.87,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO SANTOS,1738,375196.66,215.88,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO SUPRAVE 1,562,371385.6,660.83,2026-02-01 00:00:00,2026-02-01 00:00:00
REDE VIVO SUPERMERCADOS 55,634,369952.81,583.52,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO SANTIAGO,1609,369807.41,229.84,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO COLINAS,627,369564.06,589.42,2026-02-01 00:00:00,2026-02-01 00:00:00
MACAMO ATACADO,398,369288.03,927.86,2026-02-01 00:00:00,2026-02-01 00:00:00
ECONOMICO LJ1,792,368327.13,465.06,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO MENDONCA,1397,366924.72,262.65,2026-02-01 00:00:00,2026-02-01 00:00:00
UNIMAX SUPERMERCADO,740,365786.97,494.31,2026-02-01 00:00:00,2026-02-01 00:00:00
COFESA LJ10,784,363451.13,463.59,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO ASSIS,806,362078.28,449.23,2026-02-01 00:00:00,2026-02-01 00:00:00
BEIRA RIO SUPERMERCADO,1239,360916.24,291.3,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPER ATACADAO LJ4 INOA,534,358992.91,672.27,2026-02-01 00:00:00,2026-02-01 00:00:00
GARCIA SUPERMERCADOS LJ1,437,358396.61,820.13,2026-02-01 00:00:00,2026-02-01 00:00:00
MEGA SUPERMERCADO,1898,357959.48,188.6,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO IQUEGAMI 1,829,356930.48,430.56,2026-02-01 00:00:00,2026-02-01 00:00:00
COMERCIAL SANTA TEREZINHA,786,356741.02,453.87,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO ECONOMIA,2655,356539.36,134.29,2026-02-01 00:00:00,2026-02-01 00:00:00
BRASIL ATACADISTA LJ 40,501,356315.38,711.21,2026-02-01 00:00:00,2026-02-01 00:00:00
CESTAO SUPERMERCADOS LJ1,151,352344.39,2333.41,2026-02-01 00:00:00,2026-02-01 00:00:00
NILO SUPERMERCADO CANARANA LJ 10,442,351777.12,795.88,2026-02-01 00:00:00,2026-02-01 00:00:00
CREMA LJ3,686,351327.24,512.14,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADOS BELTRAME LJ3,542,350758.77,647.16,2026-02-01 00:00:00,2026-02-01 00:00:00
REAL SUPERMERCADO 3,701,350416.18,499.88,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO IRMAOS PEIXOTO,842,347070.59,412.2,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO SANTO ANTONIO,3174,344092.33,108.41,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO TOSTA LJ1,728,343494.06,471.83,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO SAO JORGE,1462,342165.42,234.04,2026-02-01 00:00:00,2026-02-01 00:00:00
ALFA SUPERMERCADO,498,341390.51,685.52,2026-02-01 00:00:00,2026-02-01 00:00:00
TOUREIRO ATACAREJO LJ3,675,340891.01,505.02,2026-02-01 00:00:00,2026-02-01 00:00:00
ORIUNDI SUPERMERCADOS LJ2,671,340763.26,507.84,2026-02-01 00:00:00,2026-02-01 00:00:00
NILO SUPERMERCADO LJ5,394,340689.67,864.69,2026-02-01 00:00:00,2026-02-01 00:00:00
BRASIL ATACADISTA LJ 29,550,340650.58,619.36,2026-02-01 00:00:00,2026-02-01 00:00:00
GAVIAO ALVORADA,510,340522.75,667.69,2026-02-01 00:00:00,2026-02-01 00:00:00
SAO JOSE SUPERMERCADO,538,340463.12,632.83,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO RAIO DO SOL,484,338123.66,698.6,2026-02-01 00:00:00,2026-02-01 00:00:00
MERCADINHO IMPERIAL,1050,335694.65,319.71,2026-02-01 00:00:00,2026-02-01 00:00:00
COMPRE MAIS LJ21,604,335255.32,555.06,2026-02-01 00:00:00,2026-02-01 00:00:00
MERCADINHO PARANA,819,334272.75,408.15,2026-02-01 00:00:00,2026-02-01 00:00:00
DOSUL SUPERMERCADOS LJ6,628,332115.28,528.85,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO SANTA FE CAMPO LIMPO PAULISTA,545,330515.49,606.45,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADOS MESSIAS PEIXOTO LJ1,685,330071.65,481.86,2026-02-01 00:00:00,2026-02-01 00:00:00
KINFUKU SUPERMERCADOS LJ1,628,329771.52,525.11,2026-02-01 00:00:00,2026-02-01 00:00:00
MERCADINHO RAPOSO,466,329761.81,707.64,2026-02-01 00:00:00,2026-02-01 00:00:00
MERCADINHO PARANA 9,485,329704.03,679.8,2026-02-01 00:00:00,2026-02-01 00:00:00
BRASIL ATACADISTA LJ 32,510,329290.49,645.67,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPER MERCADO PILAR,637,327475.73,514.09,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO SAO JOSE LJ1,982,327247.72,333.25,2026-02-01 00:00:00,2026-02-01 00:00:00
BRASIL ATACADISTA LJ 41,524,326871.93,623.8,2026-02-01 00:00:00,2026-02-01 00:00:00
PARAISO DO TOCANTINS,565,326853.92,578.5,2026-02-01 00:00:00,2026-02-01 00:00:00
NILO SUPERMERCADO LJ9,467,325203.05,696.37,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO SOUSA,1263,324549.03,256.97,2026-02-01 00:00:00,2026-02-01 00:00:00
PS ATACAREJO SANTO ANTONIO,668,323693.15,484.57,2026-02-01 00:00:00,2026-02-01 00:00:00
BRASIL ATACADISTA LJ 19,439,322844.69,735.41,2026-02-01 00:00:00,2026-02-01 00:00:00
REDE AVISTAO COSTA AZUL LJ1,339,322099.59,950.15,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO DA PRACA 101,549,319332.36,581.66,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO NUTRIMAIS,371,319155.4,860.26,2026-02-01 00:00:00,2026-02-01 00:00:00
PORTAL ATACADISTA ANASTACIO,538,317881.64,590.86,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO CASTANHA LJ3,551,317546.23,576.31,2026-02-01 00:00:00,2026-02-01 00:00:00
MEGA ATACAREJO,778,317223.48,407.74,2026-02-01 00:00:00,2026-02-01 00:00:00
SERVILAR LJ1,537,317116.32,590.53,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 80,283,317115.88,1120.55,2026-02-01 00:00:00,2026-02-01 00:00:00
MERCALE LJ1,475,314172.43,661.42,2026-02-01 00:00:00,2026-02-01 00:00:00
