CNPJ;RAZAO_SOCIAL;COD_PRODUTO;DESC_PRODUTO;QTD;VALOR_UNITARIO;VALOR_TOTAL;DATA_VENDA;UF;CIDADE;CANAL
44556677000188;DISTRIBUIDORA NORTE RS;SKU001;AGUA MINERAL 500ML CX24;60;28.90;1734.00;2024-03-05;RS;ERECHIM;DISTRIBUIDOR
77889900000144;ATACAREJO SUL LTDA;SKU004;ENERGETICO 250ML CX24;50;96.00;4800.00;2024-03-07;RS;PELOTAS;ATACADO
55667788000122;SUPERMERCADO FAMILIA LTDA;SKU003;SUCO LARANJA 1L CX12;8;72.00;576.00;2024-03-10;RS;SANTA MARIA;VAREJO
98765432000110;ATACADO BOA VISTA EIRELI;SKU003;SUCO LARANJA 1L CX12;30;72.00;2160.00;2024-03-12;RS;CAXIAS DO SUL;ATACADO
11223344000155;MERCEARIA SAO JOAO ME;SKU003;SUCO LARANJA 1L CX12;3;72.00;216.00;2024-03-14;RS;GUAPORE;VAREJO
88990011000166;SUPERMERCADO NOVO MUNDO;SKU005;ISOTONICO 500ML CX12;12;48.00;576.00;2024-03-15;RS;URUGUAIANA;VAREJO
66778899000133;MINI MERCADO ESPERANCA;SKU004;ENERGETICO 250ML CX24;1;96.00;96.00;2024-03-18;RS;PASSO FUNDO;VAREJO
12345678000190;SUPERMERCADO CENTRAL LTDA;SKU001;AGUA MINERAL 500ML CX24;25;28.90;722.50;2024-03-20;RS;PORTO ALEGRE;DISTRIBUIDOR
44556677000188;DISTRIBUIDORA NORTE RS;SKU004;ENERGETICO 250ML CX24;35;96.00;3360.00;2024-03-22;RS;ERECHIM;DISTRIBUIDOR
77889900000144;ATACAREJO SUL LTDA;SKU006;AGUA COM GAS 500ML CX24;70;32.00;2240.00;2024-03-25;RS;PELOTAS;ATACADO
98765432000110;ATACADO BOA VISTA EIRELI;SKU002;REFRIGERANTE COLA 2L CX12;45;54.00;2430.00;2024-03-27;RS;CAXIAS DO SUL;ATACADO
55667788000122;SUPERMERCADO FAMILIA LTDA;SKU002;REFRIGERANTE COLA 2L CX12;7;54.00;378.00;2024-03-29;RS;SANTA MARIA;VAREJO
88990011000166;SUPERMERCADO NOVO MUNDO;SKU006;AGUA COM GAS 500ML CX24;9;32.00;288.00;2024-03-30;RS;URUGUAIANA;VAREJO
11223344000155;MERCEARIA SAO JOAO ME;SKU005;ISOTONICO 500ML CX12;2;48.00;96.00;2024-03-31;RS;GUAPORE;VAREJO
